"seq","5-10","H","Ha","I","Ia","J","Ja","Jb","K","L","M","N","Na","P","Q","Qa"
"9e67f564a732feffc50f5fc690ec2e71",0,0,0,0,0,0,0,0,0,0,0,0.0186140664173157,0,0.0186822373087446,0,0
"cabc3f75a6051be90646efa273cd5ad3",0,0,0,0,0,0,0,0,0,0,0,0.00445962007914856,0,0.00554134157462762,0,0
"9b611d92f1b2fba52aa3d0b6b2b3e180",0,0,0,0,0,0,0,0,0,0,0.00555693807879738,0,0,0.00506636943965954,0,0
"b4ac0621ed68fda2b501520e951949e1",0,0,0,0,0,0,0,0,0,0,0.018362056260374,0.0127971706619046,0,0.0194738575336914,0,0
"4e39e7f278e094156ebfcc28868dd7dd",0,0,0,0,0,0,0,0,0,0,0.0118386941678727,0,0,0.0132992197791063,0,0
"1d808a941e29c1b4f33534431001dd27",0,0,0,0.0220959936191082,0,0,0,0,0,0,0,0,0,0,0,0
"2c1453fb27de0eb5e19ae61028df3294",0,0,0,0,0,0.0160743140920974,0,0,0,0,0.0345496584899142,0.0288905822518755,0,0.0455973249569359,0,0
"5826f38e9afadfa40023cdc15629fe20",0,0,0,0,0,0,0,0,0,0,0,0,0,0.0060163137095957,0,0
"c6d0e484e529a485ffc0b1f08f1fb158",0,0.013550183818941,0,0.00808390010455177,0,0.00987019286356855,0,0,0,0,0,0.00891924015829712,0,0.0112410071942446,0,0
"8617781822710da79c36db0aa375fe0a",0,0,0,0,0,0,0,0,0,0,0,0,0,0.0246985510183403,0,0
"136c27e1efa2b99fb71cdff938615daa",0,0,0,0,0,0,0,0,0,0,0,0.00814365405757563,0,0.0106077110142872,0,0
"33df87d462384b48f155ad84b5e02c26",0.00371428647230336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"f2a6e7637c20fbb79c069489fc527053",0.00663265441482743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"c39f594d9d2493b66260c1f7503e5ea1",0.768061381237017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19463e5fe824700110e4a4ec8afe0512",0.0228163311870064,0.0160462703119038,0,0.0220959936191082,0,0.0273545345076043,0.0558503211393465,0.101424350663668,0.0592091351237048,0.0489691856864884,0.233874611316342,1.01504830931925,0.216602092803319,0.935061809707164,0.601072943291296,0.180299867147466
"135f3b8eaf65e4c59bcd692de4f6d6ae",0,0.0110540973259782,0.0246687341415281,0,0.0276847263364802,0,0,0,0,0,0,0,0,0,0,0
"7281c911136ba2bdcafebb9c71729dea",0.128408189471059,0,0,0,0,0,0,0,0,0,0.0140131481987064,0.0794975753239526,0.0640654077305592,0.352904296281285,0.553324158076567,0.151831467071551
"a353b92733af5260a57dd1a0ba3001e1",1.68442891518957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9afd475513b0a626050fef80f7d864d4",0.417591921957535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"38b371de3be6ddef03bea94294e9830d",9.65687952181215,0.0114106811106872,0,0.00862282677818856,0,0.00789615429085484,0,0,0.00467440540450301,0.00362734708788803,0.00483212006851946,0.0034901374532467,0,0.0140908400040531,0.0449400331432744,0
